frame_id,rho,theta,visible
frame_070.jpg,-120.2966,2.4802,0
frame_071.jpg,-118.8674,2.4749,0
frame_072.jpg,-118.5482,2.4722,0
frame_073.jpg,-117.1303,2.4669,0
frame_074.jpg,-116.0350,2.4642,0
frame_075.jpg,-115.7212,2.4616,0
frame_076.jpg,-114.6319,2.4589,0
frame_077.jpg,-113.5465,2.4563,0
frame_078.jpg,-113.5465,2.4563,0
frame_079.jpg,-113.5465,2.4563,0
frame_080.jpg,-113.5465,2.4563,0
frame_081.jpg,-114.6319,2.4589,1
frame_082.jpg,-115.7212,2.4616,1
frame_083.jpg,-114.9436,2.4616,1
frame_084.jpg,-117.1303,2.4669,1
frame_085.jpg,-118.5482,2.4722,1
frame_086.jpg,-118.8674,2.4749,1
frame_087.jpg,-120.2966,2.4802,1
frame_088.jpg,-123.6475,2.4884,1
frame_089.jpg,-125.1029,2.4939,1
frame_090.jpg,-125.7659,2.4995,1
frame_091.jpg,-128.3750,2.5079,1
frame_092.jpg,-131.0076,2.5164,1
frame_093.jpg,-133.6633,2.5251,1
frame_094.jpg,-136.3416,2.5338,1
frame_095.jpg,-139.0424,2.5426,1
frame_096.jpg,-138.5682,2.5456,1
frame_097.jpg,-141.2898,2.5546,1
frame_098.jpg,-144.0326,2.5637,1
frame_099.jpg,-146.7963,2.5729,1
frame_100.jpg,-148.3680,2.5791,1
frame_101.jpg,-151.1634,2.5885,1
frame_102.jpg,-151.5311,2.5916,1
frame_103.jpg,-153.1222,2.5980,1
frame_104.jpg,-156.8112,2.6076,1
frame_105.jpg,-157.1847,2.6108,1
frame_106.jpg,-156.3222,2.6108,1
frame_107.jpg,-158.7965,2.6173,1
frame_108.jpg,-160.0382,2.6206,1
frame_109.jpg,-160.0382,2.6206,1
frame_110.jpg,-160.0382,2.6206,1
frame_111.jpg,-160.0382,2.6206,1
frame_112.jpg,-160.0382,2.6206,1
frame_113.jpg,-158.7965,2.6173,1
frame_114.jpg,-156.3222,2.6108,1
frame_115.jpg,-157.1847,2.6108,1
frame_116.jpg,-155.5784,2.6044,1
frame_117.jpg,-153.1222,2.5980,1
frame_118.jpg,-151.5311,2.5916,1
frame_119.jpg,-149.9463,2.5853,1
frame_120.jpg,-148.3680,2.5791,1
frame_121.jpg,-145.5924,2.5698,1
frame_122.jpg,-144.0326,2.5637,1
frame_123.jpg,-141.2898,2.5546,1
frame_124.jpg,-140.5787,2.5486,1
frame_125.jpg,-137.8649,2.5397,1
frame_126.jpg,-135.1733,2.5309,1
frame_127.jpg,-132.5041,2.5222,1
frame_128.jpg,-129.8578,2.5136,1
frame_129.jpg,-127.2347,2.5051,1
frame_130.jpg,-127.7030,2.5023,1
frame_131.jpg,-125.1029,2.4939,1
frame_132.jpg,-123.6475,2.4884,1
frame_133.jpg,-122.2006,2.4830,1
frame_134.jpg,-118.8674,2.4749,1
frame_135.jpg,-117.4469,2.4695,1
frame_136.jpg,-117.1303,2.4669,1
frame_137.jpg,-114.9436,2.4616,1
frame_138.jpg,-115.7212,2.4616,1
frame_139.jpg,-114.6319,2.4589,1
frame_140.jpg,-113.5465,2.4563,1
frame_141.jpg,-113.5465,2.4563,1
frame_142.jpg,-113.5465,2.4563,1
frame_143.jpg,-113.5465,2.4563,1
frame_144.jpg,-114.6319,2.4589,1
frame_145.jpg,-115.7212,2.4616,1
frame_146.jpg,-116.0350,2.4642,1
frame_147.jpg,-118.2294,2.4695,1
frame_148.jpg,-118.5482,2.4722,1
frame_149.jpg,-119.9747,2.4775,1
